externalId,startDate,isCancelled,teamAName,teamBName,participantAName,participantBName,streamName,tournamentName,matchStatus,teamAScore,teamBScore,elo_a_before,elo_b_before,diff_elo,elo_expected_prob_a
NB151280726,2026-07-28 13:39:00+00:00,False,Dallas Mavericks,Denver Nuggets,HARLEM,UNFORGIVEN,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,64.0,59.0,1510.060045409311,1497.2944153720616,12.765630037249366,0.5183629557642767
NB152280726,2026-07-28 13:43:00+00:00,False,Phoenix Suns,Memphis Grizzlies,ABYSS,REND,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,50.0,45.0,1316.21145787906,1359.9684201140105,-43.756962234950606,0.4373595115438538
NB153280726,2026-07-28 13:55:00+00:00,False,Denver Nuggets,Dallas Mavericks,HOLLOW,CHIEF,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,48.0,52.0,1530.383873010965,1498.9176907904816,31.46618222048346,0.5451600705405694
NB154280726,2026-07-28 13:59:00+00:00,False,Denver Nuggets,Dallas Mavericks,GALAXY,SHELL,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,44.0,50.0,1550.873522332399,1594.7671701303784,-43.89364779797938,0.43716590212841905
NB275280726,2026-07-28 14:03:00+00:00,False,Chicago Bulls,Miami Heat,SMOG,COMBO,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,65.0,54.0,1578.2758963829456,1475.6470134955412,102.62888288740442,0.6435439424053576
NB156280726,2026-07-28 14:07:00+00:00,False,Phoenix Suns,Cleveland Cavaliers,MARKSMAN,ARCHER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,60.0,48.0,1610.483975387114,1572.9204542126754,37.56352117443862,0.5538486004550034
NB157280726,2026-07-28 14:11:00+00:00,False,Boston Celtics,New York Knicks,UNBREAKABLE,UNFORGIVEN,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,59.0,39.0,1487.2225763986403,1489.6463054421426,-2.4237290435023624,0.49651203010272676
NB158280726,2026-07-28 14:15:00+00:00,False,Boston Celtics,Los Angeles Lakers,PUNISHER,ORDER,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,50.0,51.0,1342.965951891423,1442.038945147263,-99.07299325583995,0.3611652985523773
NB159280726,2026-07-28 14:27:00+00:00,False,Denver Nuggets,Orlando Magic,HOLLOW,DIMES,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,58.0,55.0,1522.6079348646238,1550.8808740505256,-28.272939185901805,0.45940154544940515
NB160280726,2026-07-28 14:31:00+00:00,False,Denver Nuggets,Orlando Magic,GALAXY,SAINT JR,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,56.0,52.0,1543.3343513191612,1502.0311530207287,41.30319829843256,0.5591616421725752
NB161280726,2026-07-28 14:35:00+00:00,False,Boston Celtics,Oklahoma City Thunder,COMBO,SMOG,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,60.0,53.0,1467.7969962911602,1586.1259135873265,-118.32891729616631,0.33600334365058343
NB162280726,2026-07-28 14:39:00+00:00,False,Orlando Magic,Denver Nuggets,MARKSMAN,ALLFATHER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,40.0,48.0,1620.6257880769474,1470.0271866641117,150.5986014128357,0.7041034177499262
