externalId,startDate,participantAName,participantBName,diff_avg_pts_for,diff_win_rate,diff_form5,diff_form3,diff_form2,diff_net_rating,diff_fatigue,diff_elo,elo_expected_prob_a,h2h_shrunk_full,h2h_shrunk_last5,h2h_n_meetings,avg_pts_for_prev_a,avg_pts_for_prev_b,volatility_prev_a,volatility_prev_b,hours_since_last_a,hours_since_last_b,matches_last_3h_a,matches_last_3h_b,market_prob_a,odds_a,odds_b,target_win_a,target_total
NB224260826,2026-08-26 20:43:00+00:00,OCEAN,MARINE,-1.5456507834985587,0.021053192623387673,0.6000000000000001,0.6666666666666667,1.0,1.5274224496322404,0,35.78015267530532,0.551310513828897,0.6206472321875791,0.5783602283683986,35,53.009433962264154,54.55508474576271,7.821948351867619,7.722386330085113,1.6,1.0666666666666667,2,2,,,,1,97.0
NB225260826,2026-08-26 20:47:00+00:00,MYTH,JUGGERNAUT,-5.348068064953807,-0.02941761081295957,-0.4,-0.33333333333333337,0.0,-1.0172063640213267,0,-92.15807703073732,0.3703992207278404,0.3703992207278404,0.3703992207278404,0,50.59173126614987,55.93979933110368,7.4307674238873815,7.93491062778947,1.6,1.0666666666666667,2,2,,,,0,92.0
NB226260826,2026-08-26 20:51:00+00:00,STING,ULTIMATE,-6.680362116991645,0.05498441999905579,0.6,0.6666666666666666,0.5,0.9493354893536647,0,59.26698939995572,0.584474268568052,0.4852633703883825,0.4819885638080231,7,47.25,53.930362116991645,8.26710412512817,8.074938651534566,1.6,1.0666666666666667,2,2,,,,0,101.0
NB227260826,2026-08-26 20:55:00+00:00,LEGACY,AZURE,-0.41364826752619166,-0.06618654311039485,-0.2,-0.3333333333333333,-0.5,-1.3583098307816286,0,-100.08909460093992,0.359816852832806,0.5494351269121697,0.6043630457034693,15,50.43561643835616,50.849264705882355,8.16918240530579,7.649330060852181,1.6,1.0666666666666667,2,2,,,,1,123.0
NB228260826,2026-08-26 21:07:00+00:00,JACKAL,CURSE,2.75568181818182,0.008996212121212155,-0.39999999999999997,-0.3333333333333333,-0.5,0.6306818181818201,0,-23.726766695933748,0.4659074204010959,0.5173156991240182,0.42929218684493153,17,57.270833333333336,54.515151515151516,8.13882063914426,8.883260498669507,1.0666666666666667,0.5333333333333333,3,3,,,,1,118.0
NB229260826,2026-08-26 21:11:00+00:00,KARMA,CALAMITY,-4.097706072720349,0.021321149819150953,-0.6,-1.0,-1.0,0.4493146773272372,0,-15.409608000665456,0.4778383212354938,0.40927944041183123,0.3234836983268861,8,53.13268608414239,57.23039215686274,7.780169570179518,8.062615659575178,1.0666666666666667,0.5333333333333333,2,2,,,,1,122.0
NB230260826,2026-08-26 21:15:00+00:00,SPOOKY,MARINE,0.7380317883315826,0.044383109672916476,0.39999999999999997,0.6666666666666666,0.5,1.5360394657529852,0,27.79155703292804,0.5399101803079019,0.39689544009473904,0.4621823023590675,9,55.244360902255636,54.50632911392405,7.902976879143512,7.7424759830981795,1.0666666666666667,0.5333333333333333,2,2,,,,0,113.0
NB231260826,2026-08-26 21:19:00+00:00,LAW,JUGGERNAUT,-2.6530939226519337,-0.04828729281767957,-0.6,-1.0,-1.0,0.34581952117864034,0,-13.182240599699526,0.4810383287644526,0.3848306630115621,0.3848306630115621,1,53.25690607734806,55.91,7.987370178468337,7.938427348193206,1.0666666666666667,0.5333333333333333,2,2,,,,0,121.0
NB232260826,2026-08-26 21:23:00+00:00,PATIENCE,ULTIMATE,0.6014797507788217,0.07268951194184836,0.39999999999999997,0.3333333333333333,0.0,2.4745327102803785,0,25.27084132023901,0.5363036659948237,0.7246581902842354,0.7939127404421439,10,54.52647975077882,53.925,8.23825393403359,8.064326168128432,1.0666666666666667,0.5333333333333333,2,2,,,,0,122.0
NB233260826,2026-08-26 21:27:00+00:00,ZION,AZURE,-1.1861249154242728,-0.04546090851823337,0.19999999999999996,0.3333333333333333,1.0,-0.03050558783041879,0,-18.04325997334536,0.4740569802054044,0.3819545620723492,0.4329142134246242,35,49.67834394904459,50.86446886446886,8.297679097126677,7.639387426354696,1.0666666666666667,0.5333333333333333,2,2,,,,0,100.0
